timestamp,open,high,low,close,volume
2024-04-19,166.2100,166.4000,164.0750,165.0000,67458928
2024-04-18,168.0300,168.6400,166.5500,167.0400,43122903
2024-04-17,169.6100,170.6500,168.0000,168.0000,50901210
2024-04-16,171.7500,173.7600,168.2700,169.3800,73711235
2024-04-15,175.3600,176.6300,172.5000,172.6900,73531773
2024-04-12,174.2600,178.3600,174.2100,176.5500,101670886
2024-04-11,168.3400,175.4600,168.1600,175.0400,91070275
2024-04-10,168.8000,169.0900,167.1100,167.7800,49709336
2024-04-09,168.7000,170.0800,168.3500,169.6700,42231444
2024-04-08,169.0300,169.2000,168.2400,168.4500,37216858
2024-04-05,169.5900,170.3900,168.9500,169.5800,41975776
2024-04-04,170.2900,171.9200,168.8200,168.8200,53355055
2024-04-03,168.7900,170.6800,168.5800,169.6500,45571129
2024-04-02,169.0800,169.3400,168.2302,168.8400,49013991
2024-04-01,171.1900,171.2500,169.4750,170.0300,43772506
2024-03-28,171.7500,172.2300,170.5100,171.4800,65672690
2024-03-27,170.4100,173.6000,170.1100,173.3100,60273265
2024-03-26,170.0000,171.4200,169.5800,169.7100,57388449
2024-03-25,170.5650,171.9400,169.4500,170.8500,54288328
2024-03-22,171.7600,173.0500,170.0600,172.2800,71160138
2024-03-21,177.0500,177.4900,170.8400,171.3700,106181270
2024-03-20,175.7200,178.6700,175.0900,178.6700,53423102
2024-03-19,174.3400,176.6050,173.0300,176.0800,55215244
2024-03-18,175.5700,177.7100,173.5200,173.7200,75604184
2024-03-15,171.1700,172.6200,170.2850,172.6200,121752699
2024-03-14,172.9100,174.3078,172.0500,173.0000,72571635
2024-03-13,172.7700,173.1850,170.7600,171.1300,51948951
2024-03-12,173.1500,174.0300,171.0100,173.2300,59544927
2024-03-11,172.9400,174.3800,172.0500,172.7500,58929918
2024-03-08,169.0000,173.7000,168.9400,170.7300,76267041
2024-03-07,169.1500,170.7300,168.4900,169.0000,71765061
2024-03-06,171.0600,171.2400,168.6800,169.1200,68587707
2024-03-05,170.7600,172.0400,169.6200,170.1200,95132355
2024-03-04,176.1500,176.9000,173.7900,175.1000,81510101
2024-03-01,179.5500,180.5300,177.3800,179.6600,73563082
2024-02-29,181.2700,182.5700,179.5300,180.7500,136682597
2024-02-28,182.5100,183.1200,180.1300,181.4200,48953939
2024-02-27,181.1000,183.9225,179.5600,182.6300,54318851
2024-02-26,182.2400,182.7600,180.6500,181.1600,40867421
2024-02-23,185.0100,185.0400,182.2300,182.5200,45119677
2024-02-22,183.4800,184.9550,182.4600,184.3700,52292208
2024-02-21,181.9400,182.8888,180.6600,182.3200,41529674
2024-02-20,181.7900,182.4300,180.0000,181.5600,53665553
2024-02-16,183.4200,184.8500,181.6650,182.3100,49752465
2024-02-15,183.5500,184.4900,181.3500,183.8600,65434496
2024-02-14,185.3200,185.5300,182.4400,184.1500,54630517
2024-02-13,185.7700,186.2100,183.5128,185.0400,56529529
2024-02-12,188.4150,188.6700,186.7900,187.1500,41781934
2024-02-09,188.6500,189.9900,188.0000,188.8500,45155216
2024-02-08,189.3850,189.5350,187.3500,188.3200,40962046
2024-02-07,190.6400,191.0500,188.6100,189.4100,53438955
2024-02-06,186.8600,189.3100,186.7695,189.3000,43490759
2024-02-05,188.1500,189.2500,185.8400,187.6800,69668820
2024-02-02,179.8600,187.3300,179.2500,185.8500,102551680
2024-02-01,183.9850,186.9500,183.8200,186.8600,64885408
2024-01-31,187.0400,187.0950,184.3500,184.4000,55467803
2024-01-30,190.9400,191.8000,187.4700,188.0400,55859370
2024-01-29,192.0100,192.2000,189.5800,191.7300,47145622
2024-01-26,194.2700,194.7600,191.9400,192.4200,44594011
2024-01-25,195.2200,196.2675,193.1125,194.1700,54822126
